Conference,School
Southland,Houston Baptist
Horizon,Ill.-Chicago
Big 10,Illinois
Missouri Valley,Illinois St.
Southland,Incarnate Word
Big 10,Indiana
Missouri Valley,Indiana St.
Metro Atlantic,Iona
Big 10,Iowa
Southwestern,Jackson St.
ASUN,Jacksonville
OVC,Jacksonville St.
Colonial,James Madison
Big 12,Kansas
Big 12,Kansas State
ASUN,Kennesaw State
Mid American,Kent St.
SEC,Kentucky
Atlantic 10,La Salle
Sun Belt,La.-Monroe
Patriot,Lafayette
Southland,Lamar
Patriot,Lehigh
Big South,Liberty
ASUN,Lipscomb
Sun Belt,Little Rock
Northeast,LIU Brooklyn
Big West,Long Beach St.
Big South,Longwood
Sun Belt,Louisiana
Conference USA,Louisiana Tech
ACC,Louisville
West Coast,Loyola Marymount
SEC,LSU
American East,Maine
Metro Atlantic,Manhattan
Metro Atlantic,Marist
Conference USA,Marshall
Big 10,Maryland
Atlantic 10,Massachusetts
Southland,McNeese
AAC,Memphis
Southern,Mercer
ACC,Miami (FL)
Mid American,Miami (OH)
Big 10,Michigan
Big 10,Michigan State
Conference USA,Middle Tenn
Horizon,Milwaukee
Big 10,Minnesota
SEC,Mississippi St.
Southwestern,Mississippi Val.
SEC,Missouri
Missouri Valley,Missouri St.
Metro Atlantic,Monmouth
OVC,Morehead St.
Northeast,Mt. St. Marys
OVC,Murray St.
Mid-Eastern,N.C. A&T
Mid-Eastern,N.C. Central
Patriot,Navy
ACC,NC State
Big 10,Nebraska
Mountain West,Nevada
Mountain West,New Mexico
Western Athletic,New Mexico St.
Southland,New Orleans
Metro Atlantic,Niagara
Southland,Nicholls St.
ASUN,NJIT
Mid-Eastern,Norfolk St.
ACC,North Carolina
Summit League,North Dakota St.
ASUN,North Florida
Colonial,Northeastern
Western Athletic,Northern Colo.
Mid American,Northern Ill.
Horizon,Northern Ky.
Big 10,Northwestern
Southland,Northwestern St.
ACC,Notre Dame
Horizon,Oakland
Mid American,Ohio
Big 10,Ohio State
Big 12,Oklahoma
Big 12,Oklahoma State
Conference USA,Old Dominion
SEC,Ole Miss
Summit League,Omaha
Summit League,Oral Roberts
Pac 12,Oregon
Pac 12,Oregon St.
West Coast,Pacific
Ivy League,Penn
Big 10,Penn State
West Coast,Pepperdine
ACC,Pittsburgh
West Coast,Portland
Southwestern,Prairie View
Big South,Presbyterian
Ivy League,Princeton
Big 10,Purdue
Metro Atlantic,Quinnipiac
Big South,Radford
Atlantic 10,Rhode Island
Conference USA,Rice
Atlantic 10,Richmond
Metro Atlantic,Rider
Big 10,Rutgers
Western Athletic,Sacramento St.
Northeast,Sacred Heart
Atlantic 10,Saint Josephs
Atlantic 10,Saint Louis
West Coast,Saint Marys (CA)
Metro Atlantic,Saint Peters
Southland,Sam Houston St.
Southern,Samford
West Coast,San Diego
Mountain West,San Diego St.
West Coast,San Francisco
Mountain West,San Jose St.
West Coast,Santa Clara
Mid-Eastern,Savannah St.
Western Athletic,Seattle U
Big East,Seton Hall
Southland,SFA
Metro Atlantic,Siena
OVC,SIUE
Sun Belt,South Ala.
SEC,South Carolina
Summit League,South Dakota St.
OVC,Southeast Mo. St.
Southland,Southeastern LA.
Pac 12,Southern Cal
Missouri Valley,Southern Ill.
Conference USA,Southern Miss
Southwestern,Southern U.
Atlantic 10,St. Bonaventure
Big East,St. Johns (NY)
Pac 12,Stanford
ASUN,Stetson
American East,Stony Brook
Big 12,TCU
SEC,Tennessee
OVC,Tennessee Tech
Big 12,Texas
SEC,Texas A&M
Southwestern,Texas Southern
Sun Belt,Texas State
Big 12,Texas Tech
Southern,The Citadel
Mid American,Toledo
Colonial,Towson
Sun Belt,Troy
AAC,Tulane
Conference USA,UAB
Big West,UC Davis
Big West,UC Irvine
Big West,UC Riverside
Big West,UC Santa Barbara
AAC,UCF
Pac 12,UCLA
AAC,UConn
American East,UMass Lowell
American East,UMBC
Mid-Eastern,UMES
Big South,UNC Asheville
Southern,UNCG
Colonial,UNCW
Mountain West,UNLV
ASUN,USC Upstate
AAC,USF
Sun Belt,UT Arlington
OVC,UT Martin
Pac 12,Utah
Western Athletic,Utah Valley
Western Athletic,UTRGV
Conference USA,UTSA
Horizon,Valparaiso
SEC,Vanderbilt
Atlantic 10,VCU
Big East,Villanova
ACC,Virginia
ACC,Virginia Tech
Southern,VMI
Northeast,Wagner
ACC,Wake Forest
Pac 12,Washington
Pac 12,Washington St.
Big 12,West Virginia
Southern,Western Caro.
Summit League,Western Ill.
Conference USA,Western Ky.
Mid American,Western Mich.
Missouri Valley,Wichita St.
Colonial,William & Mary
Big South,Winthrop
Southern,Wofford
Horizon,Wright St.
Big East,Xavier
Ivy League,Yale
Horizon,Youngstown St.
