Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Alba, Jake",American East,Stony Brook,Fr,P,,,1,6,16.67,16.67,0,0.25,0.5,0.25,0.382,16.67,16.67,7.15
"Alberius, Nate",Sun Belt,Arkansas St.,Jr,P,,,25.2,117,16.24,8.55,7.69,0.253,0.316,0.444,0.319,22.22,24.79,5.13
"Albert, Greg",American East,UMBC,Fr,P,,,9.1,43,11.63,11.63,0,0.263,0.349,0.395,0.327,20.93,32.56,3.7
"Albrittain, Daniel",Colonial,Elon,Fr,P,,,2,11,9.09,0,9.09,0.455,0.455,0.636,0.465,27.27,18.18,2.15
"Albunia, Joe",Metro Atlantic,Saint Peters,Fr,P,,,13,73,9.59,12.33,-2.74,0.345,0.438,0.5,0.399,12.33,30.14,4.84
"Aldam, Jackson",Northeast,Sacred Heart,Jr,P,,,7.1,40,20,20,0,0.29,0.45,0.452,0.397,10,25,4.7
"Alderman, Trey",Big South,Radford,So,P,,,4,20,20,5,15,0.294,0.4,0.471,0.383,10,30,6.65
"Aleaziz, Reza",Big 12,Oklahoma State,Jr,P,2018,854,17.1,87,12.64,17.24,-4.6,0.313,0.414,0.507,0.386,26.44,13.79,6.01
"Alepra, Anthony",Big 10,Northwestern,Fr,P,,,7.2,36,13.89,8.33,5.56,0.364,0.417,0.455,0.381,5.56,38.89,3.01
"Alexander, Connor",AAC,Memphis,Sr,P,,,18,81,11.11,11.11,0,0.268,0.346,0.408,0.328,29.63,23.46,5.09
"Alexander, Nathan",Conference USA,UTSA,Jr,P,2018,717,10.1,41,31.71,12.2,19.51,0.139,0.244,0.222,0.218,31.71,12.2,2.06
"Alkire, Jack",Atlantic 10,VCU,Jr,P,,,14.2,61,24.59,18.03,6.56,0.167,0.311,0.167,0.24,16.39,24.59,3.36
"Alldred, Cam",AAC,Cincinnati,Jr,P,2018,714,20.1,90,22.22,15.56,6.66,0.192,0.322,0.342,0.296,23.33,20,4.04
"Allen, Brad",Mid American,Eastern Mich.,Sr,P,,,10.2,66,4.55,6.06,-1.51,0.492,0.515,0.814,0.545,18.18,22.73,7.85
"Allen, Cody",Southland,Incarnate Word,Jr,P,,,15,65,24.62,10.77,13.85,0.211,0.292,0.386,0.293,24.62,20,3.28
"Allen, Logan",Conference USA,FIU,Fr,P,,,27.2,101,34.65,3.96,30.69,0.211,0.238,0.295,0.231,19.8,19.8,1.97
"Allen, Trent",Missouri Valley,Wichita St.,Fr,P,,,0.1,4,25,25,0,0.5,0.75,0.5,0.573,0,0,43.15
"Allen, Wilhelm",Southwestern,Southern U.,So,P,,,12,61,16.39,18.03,-1.64,0.319,0.475,0.511,0.431,16.39,19.67,7.15
"Allen, Winston",Colonial,Delaware,Fr,P,,,6.1,31,16.13,12.9,3.23,0.269,0.387,0.385,0.345,22.58,22.58,3.97
"Alley, Trent",Southern,Furman,So,UT,,,11.2,59,15.25,15.25,0,0.32,0.424,0.48,0.393,13.56,28.81,5.11
"Allgeyer, Nick",Big 10,Iowa,Jr,P,2018,356,28,111,27.93,3.6,24.33,0.24,0.27,0.385,0.28,18.02,25.23,3.33
"Allinger, Austin",Missouri Valley,Evansville,Jr,P,,,17.1,84,10.71,11.9,-1.19,0.275,0.369,0.391,0.333,32.14,16.67,4.96
"Almquist, Andy",Mid American,Miami (OH),Jr,P,,,10.1,48,25,14.58,10.42,0.268,0.375,0.439,0.356,18.75,18.75,4.14
"Alsbrooks, Quentin",Southwestern,Alabama A&M,Jr,P,,,7,51,7.84,35.29,-27.45,0.323,0.588,0.548,0.494,15.69,17.65,12.43
"Altamarino, Kevin",Western Athletic,CSU Bakersfield,Fr,P,,,7,50,4,12,-8,0.5,0.56,0.738,0.539,22,16,7.43
"Altieri, Zach",Colonial,Hofstra,Jr,P,,,0.2,4,25,50,-25,0,0.5,0,0.345,25,0,23.15
"Alvarado, Luis",Big 10,Nebraska,Sr,OF,2018,511,24.2,119,22.69,10.08,12.61,0.301,0.387,0.417,0.354,16.81,21.01,4.39
"Alvarez, Andrew",Big West,Cal Poly,Fr,P,,,9.1,44,20.45,4.55,15.9,0.257,0.341,0.286,0.285,20.45,18.18,3.15
"Alvarez, Daniel",Mid-Eastern,Coppin St.,Jr,P,,,4,31,3.23,25.81,-22.58,0.5,0.613,0.773,0.559,22.58,9.68,8.65
"Amador, Willy",Conference USA,Rice,Sr,P,,,12.2,62,16.13,17.74,-1.61,0.255,0.387,0.49,0.378,22.58,22.58,6.34
"Ames, Donnie",Missouri Valley,Indiana St.,So,P,,,15,68,13.24,7.35,5.89,0.25,0.294,0.35,0.277,35.29,17.65,3.81
"Ammons, Logan",Southland,SFA,So,P,,,6,28,25,7.14,17.86,0.32,0.393,0.64,0.429,10.71,25,4.48
"Amone, Tristan",Metro Atlantic,Fairfield,So,P,,,5.2,27,25.93,11.11,14.82,0.304,0.407,0.348,0.345,7.41,25.93,2.76
"Anders, Taylor",Southland,Central Ark.,Jr,P,,,2.1,15,13.33,0,13.33,0.462,0.4,0.923,0.5,13.33,20,7.43
"Anderson, Aidan",Southland,McNeese,Jr,P,,,23,95,23.16,12.63,10.53,0.2,0.316,0.3,0.282,25.26,18.95,4.19
"Anderson, Austin",Mountain West,UNLV,Sr,3B,,,8,39,12.82,10.26,2.56,0.294,0.359,0.353,0.315,12.82,35.9,3.4
"Anderson, Ben",American East,Binghamton,So,P,,,10.2,46,15.22,4.35,10.87,0.184,0.283,0.289,0.259,21.74,30.43,4.81
"Anderson, Chase",Mid-Eastern,Norfolk St.,Jr,P,,,31.2,124,17.74,6.45,11.29,0.252,0.298,0.339,0.279,25.81,25.81,2.92
"Anderson, Cody",Pac 12,Washington St.,Sr,P,,,14,76,10.53,6.58,3.95,0.415,0.487,0.523,0.439,22.37,17.11,5.08
"Anderson, Elliott",SEC,Auburn,So,P,,,11,45,35.56,17.78,17.78,0.139,0.289,0.25,0.253,20,13.33,2.42
"Anderson, Grant",Southland,McNeese,Jr,P,2018,628,31.2,149,18.79,11.41,7.38,0.288,0.383,0.416,0.35,20.81,20.13,4.2
"Anderson, Jack",Colonial,Hofstra,Fr,P,,,2,8,25,0,25,0.25,0.25,0.25,0.22,12.5,37.5,1.15
"Anderson, Jack",Ivy League,Princeton,Fr,P,,,6,34,11.76,14.71,-2.95,0.333,0.441,0.519,0.408,20.59,20.59,4.81
"Anderson, Jack",Missouri Valley,Illinois St.,Fr,P,,,2.2,9,0,22.22,-22.22,0.143,0.333,0.143,0.251,22.22,44.44,5.87
"Anderson, Ka'ikepono",Sun Belt,UT Arlington,Jr,P,,,22.2,100,10,6,4,0.278,0.34,0.467,0.346,21,34,5.8
"Anderson, Kyle",Northeast,Central Conn. St.,Sr,P,,,7,30,20,3.33,16.67,0.259,0.3,0.296,0.264,13.33,33.33,2.29
"Anderson, Landon",Big West,Cal St. Fullerton,Fr,P,,,5.1,25,8,16,-8,0.25,0.36,0.25,0.286,24,28,4.72
"Anderson, Luke",SEC,Missouri,Fr,P,,,3.2,21,23.81,4.76,19.05,0.389,0.429,0.444,0.377,28.57,0,1.9
"Anderson, Mark",Patriot,Lafayette,So,P,,,13,72,20.83,18.06,2.77,0.357,0.458,0.518,0.414,8.33,20.83,3.84
"Anderson, Mason",Colonial,Towson,Jr,P,,,6,26,7.69,11.54,-3.85,0.227,0.346,0.273,0.29,30.77,26.92,4.48
"Anderson, Nick",Big West,UC Irvine,Sr,P,,,13.1,62,17.74,9.68,8.06,0.278,0.371,0.315,0.314,20.97,24.19,3.3
"Anderson, Reid",Ivy League,Brown,Sr,P,2018,1207,2.2,22,13.64,13.64,0,0.556,0.591,0.889,0.593,4.55,18.18,10.42
"Anderson, Ryan",Mid-Eastern,Florida A&M,Sr,P,,,23.2,111,9.01,14.41,-5.4,0.293,0.387,0.446,0.36,29.73,19.82,5.47
"Anderson, Ryan",Mountain West,Nevada,So,P,,,10.2,63,20.63,14.29,6.34,0.36,0.492,0.42,0.412,19.05,11.11,4.42
"Anderson, Tyler",Mid American,Bowling Green,Sr,P,,,18.2,100,15,15,0,0.402,0.51,0.537,0.455,16,18,5.18
"Anderson, Tyler",OVC,Murray St.,Sr,P,,,5.2,21,42.86,19.05,23.81,0.118,0.286,0.176,0.233,28.57,0,1.99
"Anderson, William",Mid American,Northern Ill.,Jr,P,,,15.2,83,20.48,13.25,7.23,0.333,0.458,0.379,0.381,18.07,14.46,4.07
"Andrew, Adam",Big South,Charleston So.,Jr,P,,,0.1,3,33.33,33.33,0,0.5,0.667,0.5,0.523,0,0,13.15
"Andrews, Brandon",Southland,Nicholls St.,Fr,P,,,5.2,24,8.33,4.17,4.16,0.391,0.417,0.739,0.483,12.5,37.5,7.95
"Andrews, Clayton",Big West,Long Beach St.,Jr,OF,2018,515,23.1,103,21.36,7.77,13.59,0.253,0.32,0.33,0.288,26.21,18.45,2.54
"Andrews, Josh",Western Athletic,Grand Canyon,Jr,P,,,6,36,19.44,19.44,0,0.36,0.528,0.44,0.434,19.44,5.56,5.81
"Andrews, Luke",Big West,UC Santa Barbara,Jr,P,,,12.1,63,4.76,9.52,-4.76,0.364,0.429,0.564,0.422,30.16,20.63,7.61
"Andrews, Tanner",Big 10,Purdue,Sr,P,2018,297,37.1,162,17.28,14.81,2.47,0.221,0.34,0.272,0.285,26.54,21.6,4.01
"Andritsos, Chris",SEC,Texas A&M,So,INF,,,0.1,3,0,0,0,0.667,0.667,0.667,0.585,33.33,0,3.15
"Angel, Kyle",Colonial,Northeastern,Fr,P,,,4,20,25,15,10,0.267,0.4,0.333,0.334,5,25,3.65
"Antalek, Jason",Metro Atlantic,Iona,So,P,,,3.1,13,0,7.69,-7.69,0.25,0.308,0.25,0.256,38.46,30.77,4.11
"Anthony, Mike",Atlantic 10,La Salle,Jr,P,,,8.1,50,14,12,2,0.39,0.5,0.561,0.459,22,14,6.36
"Appel, Mike",Northeast,Central Conn. St.,Jr,P,,,14.2,67,20.9,20.9,0,0.2,0.403,0.26,0.323,20.9,17.91,4.77
"Applegate, Jason",Big East,Villanova,Jr,P,,,9.2,42,23.81,9.52,14.29,0.306,0.381,0.361,0.33,23.81,11.9,2.6
"Archambault, Jesse",Northeast,Mt. St. Marys,Sr,DH,,,9.1,46,8.7,19.57,-10.87,0.188,0.435,0.281,0.351,15.22,32.61,6.88
"Archer, Andy",ACC,Georgia Tech,So,P,,,17.2,77,15.58,11.69,3.89,0.224,0.312,0.343,0.291,20.78,31.17,4.83
"Arel, John",American East,Maine,Sr,P,,,18.1,83,15.66,10.84,4.82,0.282,0.361,0.535,0.374,22.89,22.89,5.52
"Arella, Tyler",Big East,Villanova,So,P,,,11.1,52,19.23,7.69,11.54,0.279,0.346,0.349,0.304,15.38,25,2.97
"Arens, Matt",Big West,Cal Poly,Fr,P,,,12.1,54,18.52,7.41,11.11,0.196,0.296,0.239,0.251,16.67,33.33,3.23
"Arguelles, Andy",Sun Belt,South Ala.,So,P,,,4.2,22,13.64,18.18,-4.54,0.176,0.364,0.176,0.278,18.18,31.82,5.29
"Arias, Jaime",Mountain West,Fresno St.,Fr,P,,,15.2,74,17.57,5.41,12.16,0.295,0.351,0.541,0.366,21.62,18.92,6.44
"Arjona, Kyle",Southland,New Orleans,Jr,P,,,19.1,92,8.7,10.87,-2.17,0.286,0.38,0.416,0.349,28.26,22.83,5.71
"Armstrong, Caleb",Sun Belt,Louisiana,So,P,,,3,20,15,20,-5,0.467,0.6,0.6,0.518,5,20,6.15
"Armstrong, Trevor",Summit League,Fort Wayne,Fr,P,,,9,53,13.21,7.55,5.66,0.465,0.472,0.674,0.46,16.98,13.21,4.7
"Armstrong, Walker",Big West,CSUN,Jr,P,,,37,154,12.99,4.55,8.44,0.279,0.325,0.321,0.287,30.52,22.08,3.31
"Arneth, Anthony",Metro Atlantic,Rider,Jr,P,,,5.1,33,12.12,18.18,-6.06,0.36,0.485,0.44,0.409,15.15,21.21,5.7
"Arnold, Austin",Ivy League,Cornell,Jr,P,,,1,4,25,0,25,0.25,0.25,0.25,0.22,0,50,1.15
"Arnold, Hayden",Sun Belt,Little Rock,Fr,P,,,13.2,63,26.98,9.52,17.46,0.273,0.349,0.564,0.382,9.52,26.98,6.1
"Arnold, Josh",Metro Atlantic,Fairfield,So,P,,,18,87,16.09,17.24,-1.15,0.246,0.402,0.377,0.354,20.69,22.99,6.04
"Arnone, Riley",Big South,Winthrop,Sr,P,,,14.1,67,25.37,5.97,19.4,0.311,0.358,0.492,0.363,17.91,19.4,4.57
"Arntsen, Steve",Metro Atlantic,Manhattan,Sr,P,,,10.2,58,10.34,13.79,-3.45,0.341,0.466,0.432,0.396,18.97,20.69,5.5
"Ash, Konnor",SEC,Missouri,Fr,P,,,5.2,24,20.83,8.33,12.5,0.261,0.333,0.391,0.323,20.83,29.17,2.38
"Ashkinos, Jacob",Big 12,Baylor,So,P,,,13,54,27.78,14.81,12.97,0.152,0.278,0.348,0.279,16.67,27.78,4.69
"Ashur, Andrew",Atlantic 10,Davidson,Jr,P,,,5,23,21.74,8.7,13.04,0.25,0.348,0.35,0.314,21.74,21.74,2.95
"Ashworth, Colin",Big West,Hawaii,Sr,P,,,3.1,20,5,20,-15,0.375,0.5,0.5,0.436,25,20,6.37
"Assante, Anthony",Metro Atlantic,Saint Peters,Sr,P,,,3,24,12.5,16.67,-4.17,0.526,0.625,0.842,0.604,4.17,20.83,10.48
"Aubin, Casey",Atlantic 10,Massachusetts,Jr,P,,,9,44,20.45,9.09,11.36,0.3,0.364,0.425,0.343,11.36,31.82,2.48
"Aufiero, Matt",Northeast,Sacred Heart,Fr,P,,,8.2,42,16.67,0,16.67,0.366,0.357,0.512,0.367,16.67,28.57,3.03
"Aungst, Justin",Atlantic 10,Saint Josephs,Sr,P,,,28.1,128,16.41,6.25,10.16,0.302,0.352,0.483,0.354,28.13,18.75,3.65
"Ausley, Landon",Southland,Sam Houston St.,Fr,P,,,7,30,30,13.33,16.67,0.16,0.267,0.16,0.209,13.33,26.67,2.29
"Austin, Logan",Sun Belt,UT Arlington,Jr,P,,,17.1,77,18.18,7.79,10.39,0.329,0.377,0.386,0.336,15.58,27.27,3.32
"Ausua, Miguel",Summit League,Oral Roberts,Sr,P,2018,876,29,120,20.83,10,10.83,0.212,0.3,0.279,0.263,28.33,19.17,2.87
"Autin, Zach",Southland,Nicholls St.,So,P,,,4.2,32,15.63,25,-9.37,0.316,0.594,0.368,0.461,12.5,12.5,10.05
"Avventino, Brenden",Big West,UC Riverside,Fr,UT,,,1.1,5,0,0,0,0.2,0.2,0.8,0.403,20,60,14.97
"Ay, Bobby",Big West,Cal Poly,Jr,P,,,0.1,6,0,33.33,-33.33,0.75,0.833,1.5,0.859,0,16.67,193.15
"Ayala, A.G.",Southland,A&M-Corpus Chris,Fr,P,,,18,69,18.84,5.8,13.04,0.18,0.261,0.328,0.261,31.88,21.74,5.04
"Ayer, Brett",Colonial,James Madison,So,P,,,6.1,30,33.33,13.33,20,0.182,0.333,0.273,0.282,10,16.67,2.82
"Ayers, Bryan",Sun Belt,Arkansas St.,Sr,P,,,3,17,23.53,35.29,-11.76,0.182,0.471,0.182,0.347,5.88,23.53,6.48
"Baar, Keegan",Big 10,Michigan State,Sr,P,,,2.1,11,9.09,9.09,0,0.222,0.273,0.222,0.222,18.18,36.36,3.62
"Baayoun, Zak",Big West,Long Beach St.,So,P,,,21,88,22.73,4.55,18.18,0.224,0.295,0.25,0.25,30.68,13.64,2.53
"Bach, Carter",ACC,Wake Forest,So,P,,,8.1,49,8.16,20.41,-12.25,0.364,0.571,0.697,0.527,20.41,14.29,11.3
"Bachman, Marc",Ivy League,Dartmouth,Sr,P,,,3.2,23,17.39,17.39,0,0.333,0.478,0.833,0.525,21.74,13.04,13.46
"Backhus, Kyle",Southland,Sam Houston St.,So,P,,,7.1,33,24.24,21.21,3.03,0.2,0.394,0.32,0.333,24.24,12.12,4.27
"Backman, Trevor",Metro Atlantic,Marist,Fr,P,,,6,29,3.45,10.34,-6.89,0.261,0.414,0.391,0.364,27.59,27.59,5.81
"Backofen, Kyle",Sun Belt,La.-Monroe,So,P,,,12.2,56,17.86,3.57,14.29,0.333,0.357,0.519,0.373,14.29,32.14,4.13
"Bader, Ryan",Big 10,Northwestern,Fr,P,,,11.1,48,16.67,6.25,10.42,0.267,0.313,0.311,0.278,27.08,25,2.52
"Baduel, Raul",Southwestern,Grambling,Sr,P,,,11.1,51,17.65,21.57,-3.92,0.184,0.353,0.237,0.284,17.65,25.49,4.5
"Baeza, Alex",Big West,Hawaii,Fr,INF,,,0.1,2,50,50,0,0,0.5,0,0.345,0,0,13.15
"Bafus, Curtis",Atlantic 10,VCU,Jr,P,,,9.2,40,20,15,5,0.121,0.275,0.212,0.238,12.5,40,5.1
"Bahlinger, Christian",Southland,Nicholls St.,Sr,P,,,22,93,20.43,4.3,16.13,0.294,0.344,0.353,0.309,20.43,23.66,2.37
"Bahm, Zack",Ivy League,Columbia,Sr,P,,,5.2,29,10.34,10.34,0,0.385,0.448,0.846,0.524,24.14,20.69,8.72
"Baier, Joe",Western Athletic,Chicago St.,Jr,INF,,,0.2,7,0,0,0,0.714,0.714,1.143,0.79,14.29,14.29,68.15
"Bailey, Charles",Southwestern,Southern U.,So,P,,,5.1,39,5.13,25.64,-20.51,0.385,0.564,0.577,0.487,17.95,17.95,11.97
"Bailey, Chase",American East,UMBC,Sr,P,,,13.1,66,10.61,10.61,0,0.304,0.394,0.696,0.445,27.27,21.21,9.1
"Bailey, Garrett",Ivy League,Cornell,Fr,P,,,1,5,20,0,20,0.4,0.4,0.6,0.424,20,20,1.15
"Bailey, Logan",Conference USA,Louisiana Tech,Jr,P,,,18.2,81,19.75,11.11,8.64,0.229,0.309,0.257,0.259,20.99,25.93,2.87
"Baille, Davis",Pac 12,Washington St.,So,P,,,4.1,19,26.32,5.26,21.06,0.333,0.368,0.333,0.314,5.26,31.58,1.44
"Bain, Austin",SEC,LSU,Sr,P,,,10,44,22.73,13.64,9.09,0.243,0.341,0.324,0.3,9.09,31.82,4.25
"Bair, Carter",Conference USA,Middle Tenn,Jr,P,,,4.1,30,10,36.67,-26.67,0.368,0.6,0.737,0.546,16.67,13.33,16.07
"Baird, Butch",Mid American,Ohio,Sr,P,,,11.2,54,27.78,3.7,24.08,0.333,0.389,0.569,0.412,12.96,22.22,5.02
"Baird, Cam",Sun Belt,Texas State,Sr,P,2018,597,8,45,15.56,6.67,8.89,0.462,0.511,0.564,0.463,24.44,6.67,4.9
"Baird, Dustin",Ivy League,Brown,So,P,,,1.2,13,7.69,7.69,0,0.583,0.615,1.167,0.729,0,30.77,25.65
"Baird, Michael",Missouri Valley,Southern Ill.,Sr,P,2018,693,43,179,20.11,6.7,13.41,0.239,0.291,0.371,0.284,29.05,18.44,3.66
"Baker, Andrew",SEC,Florida,So,OF,,,11,53,18.87,16.98,1.89,0.22,0.396,0.366,0.35,20.75,20.75,6.97
"Baker, Brandon",Sun Belt,Georgia St.,Sr,P,,,15,65,27.69,12.31,15.38,0.17,0.277,0.245,0.241,13.85,26.15,3.41
"Baker, Hunter",Southern,Furman,Sr,P,,,0.1,4,0,25,-25,0.5,0.75,0.5,0.573,0,25,63.15
"Baker, John",Mid American,Ball St.,So,P,,,35,144,27.78,4.17,23.61,0.233,0.285,0.318,0.264,22.22,18.75,2.18
"Baker, Justin",Colonial,Col. of Charleston,Sr,P,,,8.2,40,17.5,5,12.5,0.286,0.35,0.343,0.308,25,20,2.9
"Baker, Kevin",West Coast,Portland,Jr,P,,,4.2,20,15,0,15,0.3,0.3,0.5,0.334,20,35,1.72
"Baker, Robbie",Atlantic 10,Richmond,Sr,P,,,29.2,121,22.31,5.79,16.52,0.218,0.281,0.327,0.269,22.31,26.45,3.22
"Baker, T.J.",Mid American,Ball St.,Jr,P,,,11.2,48,18.75,8.33,10.42,0.256,0.333,0.333,0.294,29.17,12.5,4.31
"Baker, Tristan",Southern,Western Caro.,Jr,P,,,19,103,13.59,7.77,5.82,0.36,0.417,0.523,0.397,13.59,26.21,6.3
"Baksha, J.T.",Summit League,Western Ill.,Jr,P,,,5,20,25,10,15,0.118,0.25,0.176,0.211,15,35,2.95
"Bakst, Daniel",Pac 12,Stanford,So,INF,,,8.2,32,18.75,0,18.75,0.194,0.219,0.323,0.234,25,34.38,3.63
"Balderrama Jr., Max",Western Athletic,UTRGV,Fr,P,,,4.1,25,20,24,-4,0.278,0.48,0.278,0.37,8,24,5.83
"Balderson, Brock",Big East,Butler,Jr,P,,,4,20,25,5,20,0.333,0.35,0.389,0.316,10,25,1.4
"Balducci, Antonio",Atlantic 10,Richmond,Fr,P,,,10.1,42,23.81,14.29,9.52,0.147,0.286,0.324,0.275,30.95,14.29,5.82
"Baldwin, Erin",Southern,Samford,Sr,P,2018,609,18.1,71,25.35,2.82,22.53,0.194,0.211,0.343,0.233,28.17,22.54,2.93
"Ball, Brendan",Patriot,Lafayette,Sr,P,,,9,42,9.52,7.14,2.38,0.368,0.429,0.605,0.437,23.81,23.81,5.04
"Ball, Matt",Patriot,Army,Sr,P,,,28.1,127,17.32,6.3,11.02,0.321,0.378,0.455,0.359,25.2,17.32,4.25
"Ball, Nile",SEC,Missouri,Jr,P,,,14.2,70,15.71,10,5.71,0.281,0.4,0.316,0.332,24.29,18.57,4.13
"Ballew, Seth",Southland,Sam Houston St.,Jr,P,,,29.2,125,14.4,9.6,4.8,0.236,0.304,0.373,0.292,25.6,27.2,3.59
"Bandow, Jackson",Ivy League,Yale,Fr,P,,,0.2,5,20,40,-20,0,0.6,0,0.421,0,20,38.15
"Banks, Jacob",Mid American,Miami (OH),Sr,P,,,3,12,25,25,0,0.111,0.333,0.111,0.246,8.33,33.33,4.15
"Barbee, Hunter",Southern,The Citadel,Fr,P,,,5.2,22,18.18,0,18.18,0.105,0.182,0.105,0.145,40.91,18.18,2.76
"Barber, Chris",Horizon,Northern Ky.,Jr,P,,,2.2,18,5.56,11.11,-5.55,0.429,0.556,0.929,0.596,16.67,22.22,19.51
"Barbery, Brandon",Southern,VMI,Sr,P,,,17.1,83,15.66,8.43,7.23,0.342,0.398,0.562,0.403,15.66,26.51,6.07
"Barden, Alex",West Coast,Santa Clara,Jr,P,,,9,43,16.28,16.28,0,0.25,0.372,0.444,0.358,18.6,27.91,6.81
"Barefoot, Matthew",Big South,Campbell,So,OF,,,4,25,20,24,-4,0.353,0.56,0.412,0.449,16,8,6.65
"Barfield, Kyle",Big 12,Kansas State,Sr,OF,,,0.1,1,0,0,0,0,0,0,0,100,0,3.15
"Barfield, Tripp",Big South,UNC Asheville,Fr,P,,,7.2,41,17.07,12.2,4.87,0.361,0.439,0.611,0.443,19.51,19.51,5.09
